W: freeship: package-name-doesnt-match-sonames libfreehttps
E: freeship: unstripped-binary-or-object usr/bin/FreeShip
E: freeship: embedded-library usr/bin/FreeShip: zlib
W: freeship: hardening-no-pie usr/bin/FreeShip
E: freeship: unstripped-binary-or-object usr/lib/libfreehttps.so
E: freeship: privacy-breach-logo usr/share/FreeShip/Manuals/GPL-Hungarian.html (http://gnu.hu/img/fsfhu-logo.png)
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/COMPTON.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/PropPred.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/RNTSP.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/SeaMargn.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/CLEMBLOU.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/fppcalc.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/UBCRT.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/hship.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/ADD_MASS.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/RADOJCIC.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/Ishercof.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/RVRSSHIP.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/OORTMERS.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/HOLLENBH.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/PROPCALC.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/fungleib.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/CALCPROP.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/ManeuvPP.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/WOLFSON.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/BUNKOV.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/PROPOL.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/CLEMPOUP.EXE
W: freeship: executable-not-elf-or-script usr/share/FreeShip/Exec/PowerPrd.EXE
W: freeship: shlib-without-versioned-soname usr/lib/libfreehttps.so libfreehttps.so
